Strategy,Mode,Securities,Model ID,Account,Token,Strategy Parameters
simple_strategy_2,backtest,"EUR_USD,GBP_USD,NZD_USD,USD_JPY",0255c7673c164de6815d89a4228b846c,,,ml_serving=True
simple_strategy,live,"EUR_USD,GBP_USD",,,,
