security,datetime,close,RSI,STOCHASTIC,ATR,security,datetime,close,RSI,STOCHASTIC,ATR,security,datetime,close,RSI,STOCHASTIC,ATR,security,datetime,close,RSI,STOCHASTIC,ATR,security,datetime,close,RSI,STOCHASTIC,ATR
EUR_USD,2010-12-30 22:00:00,1.32855,,,,GBP_USD,2010-12-30 22:00:00,1.5425,,,,AUD_USD,2010-12-30 22:00:00,1.01513,,,,EUR_JPY,2010-12-30 22:00:00,108.294,,,,NZD_USD,2010-12-30 22:00:00,0.77039,,,
EUR_USD,2010-12-31 22:00:00,1.33815,,,,GBP_USD,2011-01-01 22:00:00,1.55359,,,,AUD_USD,2011-01-01 22:00:00,1.0198,,,,EUR_JPY,2010-12-31 22:00:00,108.478,,,,NZD_USD,2010-12-31 22:00:00,0.77988,,,
EUR_USD,2011-01-01 22:00:00,1.3328,,,,GBP_USD,2011-01-02 22:00:00,1.54343,,,,AUD_USD,2011-01-02 22:00:00,1.01554,,,,EUR_JPY,2011-01-01 22:00:00,108.335,,,,NZD_USD,2011-01-01 22:00:00,0.77481,,,
EUR_USD,2011-01-02 22:00:00,1.32512,,,,GBP_USD,2011-01-03 22:00:00,1.5455,,,,AUD_USD,2011-01-03 22:00:00,1.0029,,,,EUR_JPY,2011-01-02 22:00:00,107.8,,,,NZD_USD,2011-01-02 22:00:00,0.77285,,,
EUR_USD,2011-01-03 22:00:00,1.32919,,,,GBP_USD,2011-01-04 22:00:00,1.54506,,,,AUD_USD,2011-01-04 22:00:00,0.99606,,,,EUR_JPY,2011-01-03 22:00:00,108.627,,,,NZD_USD,2011-01-03 22:00:00,0.76397,,,
EUR_USD,2011-01-04 22:00:00,1.31258,,,0.007796000000000003,GBP_USD,2011-01-05 22:00:00,1.54488,,,0.015045999999999938,AUD_USD,2011-01-05 22:00:00,0.9933,,,0.004992000000000019,EUR_JPY,2011-01-04 22:00:00,108.517,,,0.9668000000000034,NZD_USD,2011-01-04 22:00:00,0.75626,,,0.003766000000000003
EUR_USD,2011-01-05 22:00:00,1.29978,,,0.007134799999999979,GBP_USD,2011-01-06 22:00:00,1.5407,,,0.01464479999999994,AUD_USD,2011-01-06 22:00:00,0.99076,,,0.005189600000000013,EUR_JPY,2011-01-05 22:00:00,108.114,,,1.002840000000004,NZD_USD,2011-01-05 22:00:00,0.75544,,,0.003840799999999987
EUR_USD,2011-01-06 22:00:00,1.29057,,,0.006175839999999985,GBP_USD,2011-01-08 22:00:00,1.55004,,,0.014607839999999981,AUD_USD,2011-01-08 22:00:00,0.99268,,,0.00543768000000002,EUR_JPY,2011-01-06 22:00:00,106.948,,,0.8902720000000027,NZD_USD,2011-01-06 22:00:00,0.75512,,,0.0047526399999999825
EUR_USD,2011-01-08 22:00:00,1.28607,,,0.005192671999999996,GBP_USD,2011-01-09 22:00:00,1.54752,,,0.013740271999999986,AUD_USD,2011-01-09 22:00:00,0.98835,,,0.005460144000000005,EUR_JPY,2011-01-08 22:00:00,107.0,,,0.8186176000000044,NZD_USD,2011-01-07 22:00:00,0.7604,,,0.004858111999999976
EUR_USD,2011-01-09 22:00:00,1.28742,,,0.006228137599999996,GBP_USD,2011-01-10 22:00:00,1.55133,,,0.014278217599999978,AUD_USD,2011-01-10 22:00:00,0.98206,,,0.005826115200000008,EUR_JPY,2011-01-09 22:00:00,106.826,,,0.789894080000003,NZD_USD,2011-01-08 22:00:00,0.7568,,,0.004334489599999985
