security,datetime,close,RSI,STOCHASTIC,ATR
EUR_USD,2010-12-30 22:00:00,1.32855,,,
EUR_USD,2010-12-31 22:00:00,1.33815,,,
EUR_USD,2011-01-01 22:00:00,1.3328,,,
EUR_USD,2011-01-02 22:00:00,1.32512,,,
EUR_USD,2011-01-03 22:00:00,1.32919,,,
EUR_USD,2011-01-04 22:00:00,1.31258,,,0.007796000000000003
EUR_USD,2011-01-05 22:00:00,1.29978,,,0.007134799999999979
EUR_USD,2011-01-06 22:00:00,1.29057,,,0.006175839999999985
EUR_USD,2011-01-08 22:00:00,1.28607,,,0.005192671999999996
EUR_USD,2011-01-09 22:00:00,1.28742,,,0.006228137599999996
EUR_USD,2011-01-10 22:00:00,1.29048,,,0.007358510079999976
EUR_USD,2011-01-11 22:00:00,1.29622,,,0.010684808063999972
EUR_USD,2011-01-12 22:00:00,1.30893,,,0.016963846451200002
EUR_USD,2011-01-13 22:00:00,1.33145,,,0.020929077160960024
EUR_USD,2011-01-14 22:00:00,1.33865,,,0.018183261728767997
EUR_USD,2011-01-15 22:00:00,1.33788,,,0.01515860938301441
EUR_USD,2011-01-16 22:00:00,1.32446,,,0.012254887506411523
EUR_USD,2011-01-17 22:00:00,1.32537,,,0.014245910005129231
EUR_USD,2011-01-18 22:00:00,1.33685,,,0.017098728004103392
EUR_USD,2011-01-19 22:00:00,1.33963,,,0.01676498240328268
EUR_USD,2011-01-20 22:00:00,1.3449,,,0.01799598592262611
EUR_USD,2011-01-21 22:00:00,1.36173,,84.59726544859654,0.017842788738100905
EUR_USD,2011-01-22 22:00:00,1.35948,,89.55937452570214,0.014846230990480696
EUR_USD,2011-01-23 22:00:00,1.35408,,91.44360787865928,0.013696984792384535
EUR_USD,2011-01-24 22:00:00,1.3573,,86.52187100280132,0.014225587833907632
EUR_USD,2011-01-25 22:00:00,1.3641,,85.57045075729359,0.014344470267126118
EUR_USD,2011-01-26 22:00:00,1.36376,,86.9713670543119,0.013827576213700893
EUR_USD,2011-01-27 22:00:00,1.35837,,85.64530231766874,0.01323406097096069
